locality_id,locality_name,country,latitude,longitude,cluster,query_elements,reported_ree_elements,mindat_locality_url
417070,"South Sakhalin Mud Volcano, Yuzhno-Sakhalinsk urban district, Sakhalin Island, Sakhalin Oblast, Russia",Russia,47.0808,142.5766,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-417070.html
49165,"Sukhoi Log deposit, Kropotkinsky ore cluster, Lena Gold District, Bodaibo, Bodaybinsky District, Irkutsk Oblast, Russia",Russia,58.6,115.23,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-49165.html
212608,"Svetlinsky pegmatite quarry, Svetlyi, Plastovsky District, Chelyabinsk Oblast, Russia",Russia,54.286944444444,60.511944444444,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-212608.html
20373,"Tatarskii Massif, Tatarka Range, Enisei Range (Yenisei Ridge; Enisei Ridge), Krasnoyarsk Krai, Russia",Russia,58.876666666667,93.968888888889,9,Nd,Nd,https://www.mindat.org/loc-20373.html
291707,"Tayginka village, Kyshtym, Chelyabinsk Oblast, Russia",Russia,55.625036891786,60.508893101485,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-291707.html
221370,"Timan Range, Komi Republic, Russia",Russia,64.6,50.4,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-221370.html
125628,"Tommotskii Massif, Tommot river, Selennyakh range, Sakha, Russia",Russia,68.45,141.25,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-125628.html
417068,"Ulan-Ude fluorite occurrence, Ulan-Ude, Buryatia, Russia",Russia,51.824744620929,107.62205895114,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-417068.html
179971,"Ulug-Tanzek deposit, Erzin massif, Kaa-Khemsky District, Tuva, Russia",Russia,50.65,96.32,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-179971.html
404434,"Vein no. 35, Dolgaya Mt., Vishnevye Mountains, Chelyabinsk Oblast, Russia",Russia,56.001388888889,60.63,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-404434.html
4537,"Verkhnee Tin deposit, Karadubsky ore field, Kavalerovsky District, Primorsky Krai, Russia",Russia,44.3919444444,134.985833333,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-4537.html
417067,"Yuzhnoe deposit, Ivolginsky District, Buryatia, Russia",Russia,51.583333333333,107.01666666667,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-417067.html
195551,"Zhelannoye quartz deposit, Komi Republic, Russia",Russia,65.198888888889,60.281666666667,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-195551.html
205450,"Dong Pao REE deposit, Sin Ho District, Lai Châu Province, Vietnam",Vietnam,22.2666666667,103.55,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-205450.html
27056,"Sin Quyen Mine, Bat Xat District, Lào Cai Province, Vietnam",Vietnam,22.575,103.8,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-27056.html
